genero,semana,fase,pool,local,data,time_mandante,time_visitante,placar_sets,set1,set2,set3,set4,set5,status,horario_local,fuso_horario,horario_brasilia,link
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,03/06/2026,Ucrânia,EUA,0-3,16-25,17-25,23-25,,,Realizado,11:00,EDT (UTC-4),12:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,03/06/2026,França,Japão,1-3,25-23,12-25,22-25,13-25,,Realizado,16:30,EDT (UTC-4),17:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,03/06/2026,Canadá,Alemanha,1-3,26-28,25-22,18-25,18-25,,Realizado,20:00,EDT (UTC-4),21:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,04/06/2026,Ucrânia,Alemanha,3-1,,,,, ,Realizado,16:30,EDT (UTC-4),17:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,04/06/2026,Canadá,EUA,3-0,25-22,25-22,30-28,,,Realizado,20:00,EDT (UTC-4),21:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,05/06/2026,Ucrânia,Japão,0-3,,,,,,Realizado,16:30,EDT (UTC-4),17:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,05/06/2026,França,EUA,2-3,25-21,23-25,27-25,23-25,15-11,Realizado,20:30,EDT (UTC-4),21:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,06/06/2026,Canadá,França,3-1,,,,,,Realizado,16:30,EDT (UTC-4),17:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,06/06/2026,Alemanha,Japão,0-3,,,,,,Realizado,20:00,EDT (UTC-4),21:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,07/06/2026,Ucrânia,França,2-3,,,,,,Realizado,11:00,EDT (UTC-4),12:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,07/06/2026,EUA,Alemanha,3-0,25-22,25-15,25-12,,,Realizado,14:30,EDT (UTC-4),15:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,07/06/2026,Canadá,Japão,2-3,,,,,,Realizado,18:00,EDT (UTC-4),19:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,03/06/2026,Rep. Dominicana,Turquia,2-3,,,,,,Realizado,13:00,BRT (UTC-3),13:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,03/06/2026,Itália,Bulgária,3-0,,,,,,Realizado,16:30,BRT (UTC-3),16:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,03/06/2026,Brasil,Holanda,3-1,25-17,25-15,27-25,25-23,,Realizado,20:00,BRT (UTC-3),20:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,04/06/2026,Turquia,Holanda,0-3,,,,,,Realizado,16:30,BRT (UTC-3),16:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,04/06/2026,Brasil,Rep. Dominicana,3-0,,,,,,Realizado,20:00,BRT (UTC-3),20:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,05/06/2026,Rep. Dominicana,Bulgária,3-2,,,,,,Realizado,16:30,BRT (UTC-3),16:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,05/06/2026,Holanda,Itália,0-3,,,,,,Realizado,20:00,BRT (UTC-3),20:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,06/06/2026,Brasil,Bulgária,3-0,,,,,,Realizado,11:00,BRT (UTC-3),11:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,06/06/2026,Itália,Turquia,3-1,,,,,,Realizado,15:30,BRT (UTC-3),15:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,07/06/2026,Rep. Dominicana,Holanda,0-3,,,,,,Realizado,11:00,BRT (UTC-3),11:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,07/06/2026,Brasil,Itália,3-2,,,,,,Realizado,14:30,BRT (UTC-3),14:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,07/06/2026,Bulgária,Turquia,1-3,,,,,,Realizado,18:00,BRT (UTC-3),18:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,03/06/2026,Bélgica,Polônia,2-3,25-20,22-25,25-23,18-25,13-15,Realizado,11:30,CST (UTC+8),00:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,03/06/2026,Tailândia,Sérvia,0-3,24-26,22-25,19-25,,,Realizado,15:00,CST (UTC+8),04:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,03/06/2026,China,Rep. Tcheca,0-3,20-25,20-25,24-26,,,Realizado,19:30,CST (UTC+8),08:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,04/06/2026,Rep. Tcheca,Polônia,0-3,,,,,,Realizado,15:00,CST (UTC+8),04:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,04/06/2026,China,Tailândia,3-2,,,,,,Realizado,19:30,CST (UTC+8),08:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,05/06/2026,Bélgica,Rep. Tcheca,0-3,,,,,,Realizado,15:00,CST (UTC+8),04:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,05/06/2026,Sérvia,Polônia,2-3,,,,,,Realizado,19:30,CST (UTC+8),08:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,06/06/2026,Tailândia,Bélgica,2-3,,,,,,Realizado,15:00,CST (UTC+8),04:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,06/06/2026,China,Sérvia,3-0,,,,,,Realizado,19:30,CST (UTC+8),08:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,07/06/2026,Tailândia,Rep. Tcheca,0-3,,,,,,Realizado,10:30,CST (UTC+8),23:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,07/06/2026,Bélgica,Sérvia,3-2,,,,,,Realizado,15:00,CST (UTC+8),04:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,07/06/2026,China,Polônia,3-2,,,,,,Realizado,19:00,CST (UTC+8),08:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,17/06/2026,Alemanha,China,2-3,27-25,23-25,25-18,20-25,6-15,Realizado,12:30,TRT (UTC+3),06:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,17/06/2026,França,Brasil,0-3,22-25,19-25,15-25,,,Realizado,16:00,TRT (UTC+3),10:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,17/06/2026,Turquia,Bélgica,3-0,25-14,25-13,25-23,,,Realizado,19:30,TRT (UTC+3),13:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,18/06/2026,Bélgica,Brasil,-,,,,,,Próximo Jogo,16:00,TRT (UTC+3),10:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,18/06/2026,Turquia,França,-,,,,,,Próximo Jogo,19:30,TRT (UTC+3),13:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,19/06/2026,França,China,-,,,,,,Próximo Jogo,16:00,TRT (UTC+3),10:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,19/06/2026,Bélgica,Alemanha,-,,,,,,Próximo Jogo,19:30,TRT (UTC+3),13:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,20/06/2026,China,Brasil,-,,,,,,Próximo Jogo,16:00,TRT (UTC+3),10:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,20/06/2026,Turquia,Alemanha,-,,,,,,Próximo Jogo,19:30,TRT (UTC+3),13:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,21/06/2026,Bélgica,França,-,,,,,,Próximo Jogo,12:30,TRT (UTC+3),06:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,21/06/2026,Alemanha,Brasil,-,,,,,,Próximo Jogo,16:00,TRT (UTC+3),10:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,21/06/2026,Turquia,China,-,,,,,,Próximo Jogo,19:30,TRT (UTC+3),13:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,17/06/2026,Rep. Dominicana,EUA,0-3,20-25,19-25,12-25,,,Realizado,12:00,PHT (UTC+8),01:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,17/06/2026,Rep. Tcheca,Itália,0-3,18-25,21-25,22-25,,,Realizado,16:00,PHT (UTC+8),05:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,17/06/2026,Japão,Sérvia,3-2,20-25,26-24,18-25,32-30,15-7,Realizado,20:00,PHT (UTC+8),09:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,18/06/2026,Rep. Tcheca,EUA,-,,,,,,Próximo Jogo,16:00,PHT (UTC+8),05:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,18/06/2026,Sérvia,Itália,-,,,,,,Próximo Jogo,20:00,PHT (UTC+8),09:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,19/06/2026,Rep. Dominicana,Sérvia,-,,,,,,Próximo Jogo,16:00,PHT (UTC+8),05:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,19/06/2026,Japão,Rep. Tcheca,-,,,,,,Próximo Jogo,20:00,PHT (UTC+8),09:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,20/06/2026,EUA,Itália,-,,,,,,Próximo Jogo,16:00,PHT (UTC+8),05:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,20/06/2026,Japão,Rep. Dominicana,-,,,,,,Próximo Jogo,20:00,PHT (UTC+8),09:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,21/06/2026,Sérvia,EUA,-,,,,,,Próximo Jogo,12:00,PHT (UTC+8),01:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,21/06/2026,Rep. Tcheca,Rep. Dominicana,-,,,,,,Próximo Jogo,16:00,PHT (UTC+8),05:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,21/06/2026,Japão,Itália,-,,,,,,Próximo Jogo,20:00,PHT (UTC+8),09:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,17/06/2026,Canadá,Holanda,3-1,20-25,25-19,25-17,25-20,,Realizado,13:00,ICT (UTC+7),03:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,17/06/2026,Bulgária,Polônia,0-3,12-25,22-25,23-25,,,Realizado,17:00,ICT (UTC+7),07:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,17/06/2026,Tailândia,Ucrânia,2-3,23-25,25-19,26-28,25-22,10-15,Realizado,20:30,ICT (UTC+7),10:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,18/06/2026,Ucrânia,Polônia,-,,,,,,Próximo Jogo,17:00,ICT (UTC+7),07:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,18/06/2026,Tailândia,Bulgária,-,,,,,,Próximo Jogo,20:30,ICT (UTC+7),10:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,19/06/2026,Ucrânia,Holanda,-,,,,,,Próximo Jogo,17:00,ICT (UTC+7),07:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,19/06/2026,Bulgária,Canadá,-,,,,,,Próximo Jogo,20:30,ICT (UTC+7),10:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,20/06/2026,Holanda,Polônia,-,,,,,,Próximo Jogo,17:00,ICT (UTC+7),07:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,20/06/2026,Tailândia,Canadá,-,,,,,,Próximo Jogo,20:30,ICT (UTC+7),10:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
